,Region
648,"Ventral posterolateral nucleus of the thalamus, parvicellular part"
649,Ventral posteromedial nucleus of the thalamus
650,"Ventral posteromedial nucleus of the thalamus, parvicellular part"
651,Posterior triangular thalamic nucleus
652,Subparafascicular nucleus
653,"Subparafascicular nucleus, magnocellular part"
654,"Subparafascicular nucleus, parvicellular part"
655,Subparafascicular area
656,Peripeduncular nucleus
657,"Geniculate group, dorsal thalamus"
658,Medial geniculate complex
659,"Medial geniculate complex, dorsal part"
660,"Medial geniculate complex, ventral part"
661,"Medial geniculate complex, medial part"
662,Dorsal part of the lateral geniculate complex
663,"Dorsal part of the lateral geniculate complex, shell"
664,"Dorsal part of the lateral geniculate complex, core"
665,"Dorsal part of the lateral geniculate complex, ipsilateral zone"
666,"Thalamus, polymodal association cortex related"
667,Lateral group of the dorsal thalamus
668,Lateral posterior nucleus of the thalamus
669,Posterior complex of the thalamus
670,Posterior limiting nucleus of the thalamus
671,Suprageniculate nucleus
672,Ethmoid nucleus of the thalamus
673,Retroethmoid nucleus
674,Anterior group of the dorsal thalamus
675,Anteroventral nucleus of thalamus
676,Anteromedial nucleus
677,"Anteromedial nucleus, dorsal part"
678,"Anteromedial nucleus, ventral part"
679,Anterodorsal nucleus
680,Interanteromedial nucleus of the thalamus
681,Interanterodorsal nucleus of the thalamus
682,Lateral dorsal nucleus of thalamus
683,Medial group of the dorsal thalamus
684,Intermediodorsal nucleus of the thalamus
685,Mediodorsal nucleus of thalamus
686,"Mediodorsal nucleus of the thalamus, central part"
687,"Mediodorsal nucleus of the thalamus, lateral part"
688,"Mediodorsal nucleus of the thalamus, medial part"
689,Submedial nucleus of the thalamus
690,Perireunensis nucleus
691,Midline group of the dorsal thalamus
692,Paraventricular nucleus of the thalamus
693,Parataenial nucleus
694,Nucleus of reuniens
695,Xiphoid thalamic nucleus
696,Intralaminar nuclei of the dorsal thalamus
697,Rhomboid nucleus
698,Central medial nucleus of the thalamus
699,Paracentral nucleus
700,Central lateral nucleus of the thalamus
701,Parafascicular nucleus
702,Posterior intralaminar thalamic nucleus
703,Reticular nucleus of the thalamus
704,"Geniculate group, ventral thalamus"
705,Intergeniculate leaflet of the lateral geniculate complex
706,Intermediate geniculate nucleus
707,Ventral part of the lateral geniculate complex
708,"Ventral part of the lateral geniculate complex, lateral zone"
709,"Ventral part of the lateral geniculate complex, medial zone"
710,Subgeniculate nucleus
711,Epithalamus
712,Medial habenula
713,Lateral habenula
714,Pineal body
715,Hypothalamus
716,Periventricular zone
717,Supraoptic nucleus
718,Accessory supraoptic group
